Area Code (M49),Area,Item,Element,Unit,Year,value,Sub-region Name,Food loss percentage
705,Slovenia,Other Pesticides nes,Agricultural Use,t,2020,3.0,southern europe,7.1
724,Spain,Pesticides (total),Agricultural Use,t,2020,75775.0,southern europe,7.1
724,Spain,Pesticides (total),Use per area of cropland,kg/ha,2020,4.55,southern europe,7.1
724,Spain,Pesticides (total),Use per capita,kg/cap,2020,1.59,southern europe,7.1
724,Spain,Pesticides (total),Use per value of agricultural production,g/Int$,2020,1.31,southern europe,7.1
724,Spain,Insecticides,Agricultural Use,t,2020,15891.0,southern europe,7.1
724,Spain,Insecticides â€“ Organo-phosphates,Agricultural Use,t,2020,208.0,southern europe,7.1
724,Spain,Insecticides â€“ Pyrethroids,Agricultural Use,t,2020,167.0,southern europe,7.1
724,Spain,Insecticides - nes,Agricultural Use,t,2020,7739.0,southern europe,7.1
724,Spain,Herbicides,Agricultural Use,t,2020,20199.0,southern europe,7.1
724,Spain,Herbicides â€“ Phenoxy hormone products,Agricultural Use,t,2020,2064.0,southern europe,7.1
724,Spain,Herbicides â€“ Triazines,Agricultural Use,t,2020,366.0,southern europe,7.1
724,Spain,Herbicides â€“ Amides,Agricultural Use,t,2020,1020.0,southern europe,7.1
724,Spain,Herbicides â€“ Carbamates,Agricultural Use,t,2020,11.0,southern europe,7.1
724,Spain,Herbicides â€“ Dinitroanilines,Agricultural Use,t,2020,739.0,southern europe,7.1
724,Spain,Herbicides â€“ Sulfonyl ureas,Agricultural Use,t,2020,109.0,southern europe,7.1
724,Spain,Herbicides - nes,Agricultural Use,t,2020,15404.0,southern europe,7.1
724,Spain,Fungicides and Bactericides,Agricultural Use,t,2020,37916.0,southern europe,7.1
724,Spain,Fung & Bact â€“ Inorganics,Agricultural Use,t,2020,31909.0,southern europe,7.1
724,Spain,Fung & Bact â€“ Benzimidazoles,Agricultural Use,t,2020,151.0,southern europe,7.1
724,Spain,"Fung & Bact â€“ Triazoles, diazoles",Agricultural Use,t,2020,569.0,southern europe,7.1
724,Spain,"Fung & Bact â€“ Diazines, morpholines",Agricultural Use,t,2020,76.0,southern europe,7.1
724,Spain,Fung & Bact - nes,Agricultural Use,t,2020,2563.0,southern europe,7.1
724,Spain,Plant Growth Regulators,Agricultural Use,t,2020,191.0,southern europe,7.1
724,Spain,Other Pesticides nes,Agricultural Use,t,2020,627.0,southern europe,7.1
752,Sweden,Pesticides (total),Agricultural Use,t,2020,2047.0,northern europe,9.9
752,Sweden,Pesticides (total),Use per area of cropland,kg/ha,2020,0.81,northern europe,9.9
752,Sweden,Pesticides (total),Use per capita,kg/cap,2020,0.2,northern europe,9.9
752,Sweden,Pesticides (total),Use per value of agricultural production,g/Int$,2020,0.43,northern europe,9.9
752,Sweden,Insecticides,Agricultural Use,t,2020,33.0,northern europe,9.9
752,Sweden,Insecticides â€“ Pyrethroids,Agricultural Use,t,2020,10.0,northern europe,9.9
752,Sweden,Insecticides - nes,Agricultural Use,t,2020,23.0,northern europe,9.9
752,Sweden,Herbicides,Agricultural Use,t,2020,1708.0,northern europe,9.9
752,Sweden,Herbicides â€“ Sulfonyl ureas,Agricultural Use,t,2020,6.0,northern europe,9.9
752,Sweden,Herbicides - nes,Agricultural Use,t,2020,1393.0,northern europe,9.9
752,Sweden,Fungicides and Bactericides,Agricultural Use,t,2020,222.0,northern europe,9.9
752,Sweden,"Fung & Bact â€“ Triazoles, diazoles",Agricultural Use,t,2020,73.0,northern europe,9.9
752,Sweden,Fung & Bact - nes,Agricultural Use,t,2020,89.0,northern europe,9.9
752,Sweden,Plant Growth Regulators,Agricultural Use,t,2020,64.0,northern europe,9.9
752,Sweden,Other Pesticides nes,Agricultural Use,t,2020,20.0,northern europe,9.9
756,Switzerland,Pesticides (total),Agricultural Use,t,2020,1885.0,western europe,6.5
756,Switzerland,Pesticides (total),Use per area of cropland,kg/ha,2020,4.43,western europe,6.5
756,Switzerland,Pesticides (total),Use per capita,kg/cap,2020,0.22,western europe,6.5
756,Switzerland,Pesticides (total),Use per value of agricultural production,g/Int$,2020,0.48,western europe,6.5
756,Switzerland,Insecticides,Agricultural Use,t,2020,290.0,western europe,6.5
756,Switzerland,Insecticides â€“ Organo-phosphates,Agricultural Use,t,2020,3.0,western europe,6.5
756,Switzerland,Insecticides â€“ Carbamates,Agricultural Use,t,2020,4.0,western europe,6.5
756,Switzerland,Insecticides â€“ Pyrethroids,Agricultural Use,t,2020,2.0,western europe,6.5
756,Switzerland,Insecticides - Biopesticides,Agricultural Use,t,2020,13.0,western europe,6.5
756,Switzerland,Insecticides - nes,Agricultural Use,t,2020,271.0,western europe,6.5
756,Switzerland,Herbicides,Agricultural Use,t,2020,499.0,western europe,6.5
756,Switzerland,Herbicides â€“ Phenoxy hormone products,Agricultural Use,t,2020,40.0,western europe,6.5
756,Switzerland,Herbicides â€“ Triazines,Agricultural Use,t,2020,51.0,western europe,6.5
756,Switzerland,Herbicides â€“ Amides,Agricultural Use,t,2020,87.0,western europe,6.5
756,Switzerland,Herbicides â€“ Carbamates,Agricultural Use,t,2020,18.0,western europe,6.5
756,Switzerland,Herbicides â€“ Dinitroanilines,Agricultural Use,t,2020,26.0,western europe,6.5
756,Switzerland,Herbicides â€“ Urea derivates,Agricultural Use,t,2020,19.0,western europe,6.5
756,Switzerland,Herbicides - nes,Agricultural Use,t,2020,258.0,western europe,6.5
756,Switzerland,Fungicides and Bactericides,Agricultural Use,t,2020,980.0,western europe,6.5
756,Switzerland,Fung & Bact â€“ Inorganics,Agricultural Use,t,2020,578.0,western europe,6.5
756,Switzerland,Fung & Bact â€“ Dithiocarbamates,Agricultural Use,t,2020,109.0,western europe,6.5
756,Switzerland,Fung & Bact â€“ Benzimidazoles,Agricultural Use,t,2020,2.0,western europe,6.5
756,Switzerland,"Fung & Bact â€“ Triazoles, diazoles",Agricultural Use,t,2020,41.0,western europe,6.5
756,Switzerland,"Fung & Bact â€“ Diazines, morpholines",Agricultural Use,t,2020,10.0,western europe,6.5
756,Switzerland,Fung & Bact - nes,Agricultural Use,t,2020,240.0,western europe,6.5
756,Switzerland,Plant Growth Regulators,Agricultural Use,t,2020,33.0,western europe,6.5
756,Switzerland,Rodenticides,Agricultural Use,t,2020,1.0,western europe,6.5
756,Switzerland,Other Pesticides nes,Agricultural Use,t,2020,82.0,western europe,6.5
804,Ukraine,Pesticides (total),Agricultural Use,t,2020,24622.0,eastern europe,4.6
804,Ukraine,Pesticides (total),Use per area of cropland,kg/ha,2020,0.73,eastern europe,4.6
804,Ukraine,Pesticides (total),Use per capita,kg/cap,2020,0.55,eastern europe,4.6
804,Ukraine,Pesticides (total),Use per value of agricultural production,g/Int$,2020,0.55,eastern europe,4.6
804,Ukraine,Insecticides,Agricultural Use,t,2020,1540.0,eastern europe,4.6
804,Ukraine,Insecticides â€“ Organo-phosphates,Agricultural Use,t,2020,657.0,eastern europe,4.6
804,Ukraine,Insecticides â€“ Carbamates,Agricultural Use,t,2020,1.0,eastern europe,4.6
804,Ukraine,Insecticides â€“ Pyrethroids,Agricultural Use,t,2020,241.0,eastern europe,4.6
804,Ukraine,Insecticides - nes,Agricultural Use,t,2020,641.0,eastern europe,4.6
804,Ukraine,Herbicides,Agricultural Use,t,2020,17660.0,eastern europe,4.6
804,Ukraine,Herbicides â€“ Phenoxy hormone products,Agricultural Use,t,2020,967.0,eastern europe,4.6
804,Ukraine,Herbicides â€“ Triazines,Agricultural Use,t,2020,2737.0,eastern europe,4.6
804,Ukraine,Herbicides â€“ Amides,Agricultural Use,t,2020,7970.0,eastern europe,4.6
804,Ukraine,Herbicides â€“ Carbamates,Agricultural Use,t,2020,163.0,eastern europe,4.6
804,Ukraine,Herbicides â€“ Dinitroanilines,Agricultural Use,t,2020,148.0,eastern europe,4.6
804,Ukraine,Herbicides â€“ Urea derivates,Agricultural Use,t,2020,17.0,eastern europe,4.6
804,Ukraine,Herbicides â€“ Sulfonyl ureas,Agricultural Use,t,2020,442.0,eastern europe,4.6
804,Ukraine,Herbicides â€“ Bipiridils,Agricultural Use,t,2020,451.0,eastern europe,4.6
804,Ukraine,Herbicides â€“ Uracil,Agricultural Use,t,2020,7.0,eastern europe,4.6
804,Ukraine,Herbicides - nes,Agricultural Use,t,2020,4758.0,eastern europe,4.6
804,Ukraine,Fungicides and Bactericides,Agricultural Use,t,2020,4867.0,eastern europe,4.6
804,Ukraine,Fung & Bact â€“ Inorganics,Agricultural Use,t,2020,347.0,eastern europe,4.6
804,Ukraine,Fung & Bact â€“ Dithiocarbamates,Agricultural Use,t,2020,272.0,eastern europe,4.6
804,Ukraine,Fung & Bact â€“ Benzimidazoles,Agricultural Use,t,2020,1198.0,eastern europe,4.6
804,Ukraine,"Fung & Bact â€“ Triazoles, diazoles",Agricultural Use,t,2020,1722.0,eastern europe,4.6
804,Ukraine,"Fung & Bact â€“ Diazines, morpholines",Agricultural Use,t,2020,34.0,eastern europe,4.6
804,Ukraine,Fung & Bact - nes,Agricultural Use,t,2020,1294.0,eastern europe,4.6
804,Ukraine,Plant Growth Regulators,Agricultural Use,t,2020,533.0,eastern europe,4.6
804,Ukraine,Rodenticides,Agricultural Use,t,2020,10.0,eastern europe,4.6
804,Ukraine,Other Pesticides nes,Agricultural Use,t,2020,12.0,eastern europe,4.6
826,United Kingdom of Great Britain and Northern Ireland,Pesticides (total),Agricultural Use,t,2020,15023.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Pesticides (total),Use per area of cropland,kg/ha,2020,2.49,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Pesticides (total),Use per capita,kg/cap,2020,0.22,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Pesticides (total),Use per value of agricultural production,g/Int$,2020,0.55,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Insecticides,Agricultural Use,t,2020,388.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Insecticides â€“ Carbamates,Agricultural Use,t,2020,66.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Insecticides â€“ Pyrethroids,Agricultural Use,t,2020,19.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Insecticides - Biopesticides,Agricultural Use,t,2020,31.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Insecticides - nes,Agricultural Use,t,2020,236.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Herbicides,Agricultural Use,t,2020,7226.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Herbicides â€“ Phenoxy hormone products,Agricultural Use,t,2020,902.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Herbicides â€“ Triazines,Agricultural Use,t,2020,78.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Herbicides â€“ Amides,Agricultural Use,t,2020,372.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Herbicides â€“ Carbamates,Agricultural Use,t,2020,691.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Herbicides â€“ Dinitroanilines,Agricultural Use,t,2020,1051.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Herbicides â€“ Urea derivates,Agricultural Use,t,2020,79.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Herbicides â€“ Sulfonyl ureas,Agricultural Use,t,2020,48.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Herbicides â€“ Bipiridils,Agricultural Use,t,2020,5.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Herbicides â€“ Uracil,Agricultural Use,t,2020,17.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Herbicides - nes,Agricultural Use,t,2020,3981.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Fungicides and Bactericides,Agricultural Use,t,2020,5480.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Fung & Bact â€“ Inorganics,Agricultural Use,t,2020,82.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Fung & Bact â€“ Dithiocarbamates,Agricultural Use,t,2020,1044.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Fung & Bact â€“ Benzimidazoles,Agricultural Use,t,2020,4.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,"Fung & Bact â€“ Triazoles, diazoles",Agricultural Use,t,2020,795.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,"Fung & Bact â€“ Diazines, morpholines",Agricultural Use,t,2020,54.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Fung & Bact - nes,Agricultural Use,t,2020,3437.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Plant Growth Regulators,Agricultural Use,t,2020,1817.0,northern europe,9.9
826,United Kingdom of Great Britain and Northern Ireland,Other Pesticides nes,Agricultural Use,t,2020,112.0,northern europe,9.9
008,Albania,Pesticides (total),Agricultural Use,t,2021,433.0,southern europe,8.08
008,Albania,Pesticides (total),Use per area of cropland,kg/ha,2021,0.63,southern europe,8.08
008,Albania,Pesticides (total),Use per capita,kg/cap,2021,0.15,southern europe,8.08
008,Albania,Pesticides (total),Use per value of agricultural production,g/Int$,2021,0.2,southern europe,8.08
008,Albania,Insecticides,Agricultural Use,t,2021,45.0,southern europe,8.08
008,Albania,Herbicides,Agricultural Use,t,2021,40.0,southern europe,8.08
008,Albania,Fungicides and Bactericides,Agricultural Use,t,2021,249.0,southern europe,8.08
008,Albania,Plant Growth Regulators,Agricultural Use,t,2021,14.0,southern europe,8.08
008,Albania,Rodenticides,Agricultural Use,t,2021,25.0,southern europe,8.08
008,Albania,Other Pesticides nes,Agricultural Use,t,2021,61.0,southern europe,8.08
020,Andorra,Pesticides (total),Agricultural Use,t,2021,17.0,southern europe,8.08
020,Andorra,Pesticides (total),Use per area of cropland,kg/ha,2021,22.88,southern europe,8.08
020,Andorra,Pesticides (total),Use per capita,kg/cap,2021,0.22,southern europe,8.08
020,Andorra,Insecticides,Agricultural Use,t,2021,3.0,southern europe,8.08
020,Andorra,Herbicides,Agricultural Use,t,2021,7.0,southern europe,8.08
020,Andorra,Fungicides and Bactericides,Agricultural Use,t,2021,7.0,southern europe,8.08
020,Andorra,Other Pesticides nes,Agricultural Use,t,2021,1.0,southern europe,8.08
040,Austria,Pesticides (total),Agricultural Use,t,2021,5791.0,western europe,7.84
040,Austria,Pesticides (total),Use per area of cropland,kg/ha,2021,4.16,western europe,7.84
040,Austria,Pesticides (total),Use per capita,kg/cap,2021,0.65,western europe,7.84
040,Austria,Pesticides (total),Use per value of agricultural production,g/Int$,2021,0.92,western europe,7.84
040,Austria,Insecticides,Agricultural Use,t,2021,2513.0,western europe,7.84
040,Austria,Insecticides â€“ Pyrethroids,Agricultural Use,t,2021,23.0,western europe,7.84
040,Austria,Insecticides - Biopesticides,Agricultural Use,t,2021,56.0,western europe,7.84
040,Austria,Insecticides - nes,Agricultural Use,t,2021,2490.0,western europe,7.84
040,Austria,Herbicides,Agricultural Use,t,2021,1154.0,western europe,7.84
040,Austria,Herbicides â€“ Phenoxy hormone products,Agricultural Use,t,2021,92.0,western europe,7.84
040,Austria,Herbicides â€“ Triazines,Agricultural Use,t,2021,171.0,western europe,7.84
040,Austria,Herbicides â€“ Amides,Agricultural Use,t,2021,247.0,western europe,7.84
040,Austria,Herbicides â€“ Carbamates,Agricultural Use,t,2021,20.0,western europe,7.84
040,Austria,Herbicides â€“ Dinitroanilines,Agricultural Use,t,2021,57.0,western europe,7.84
040,Austria,Herbicides â€“ Urea derivates,Agricultural Use,t,2021,40.0,western europe,7.84
040,Austria,Herbicides â€“ Sulfonyl ureas,Agricultural Use,t,2021,15.0,western europe,7.84
040,Austria,Herbicides â€“ Bipiridils,Agricultural Use,t,2021,6.0,western europe,7.84
040,Austria,Herbicides â€“ Uracil,Agricultural Use,t,2021,2.0,western europe,7.84
040,Austria,Herbicides - nes,Agricultural Use,t,2021,511.0,western europe,7.84
040,Austria,Fungicides and Bactericides,Agricultural Use,t,2021,2005.0,western europe,7.84
040,Austria,Fung & Bact â€“ Inorganics,Agricultural Use,t,2021,1293.0,western europe,7.84
040,Austria,Fung & Bact â€“ Dithiocarbamates,Agricultural Use,t,2021,194.0,western europe,7.84
040,Austria,"Fung & Bact â€“ Triazoles, diazoles",Agricultural Use,t,2021,110.0,western europe,7.84
040,Austria,"Fung & Bact â€“ Diazines, morpholines",Agricultural Use,t,2021,9.0,western europe,7.84
040,Austria,Fung & Bact - nes,Agricultural Use,t,2021,398.0,western europe,7.84
040,Austria,Plant Growth Regulators,Agricultural Use,t,2021,52.0,western europe,7.84
040,Austria,Other Pesticides nes,Agricultural Use,t,2021,66.0,western europe,7.84
112,Belarus,Pesticides (total),Agricultural Use,t,2021,4117.0,eastern europe,5.0
112,Belarus,Pesticides (total),Use per area of cropland,kg/ha,2021,0.72,eastern europe,5.0
112,Belarus,Pesticides (total),Use per capita,kg/cap,2021,0.45,eastern europe,5.0
112,Belarus,Pesticides (total),Use per value of agricultural production,g/Int$,2021,0.37,eastern europe,5.0
112,Belarus,Insecticides,Agricultural Use,t,2021,144.0,eastern europe,5.0
112,Belarus,Herbicides,Agricultural Use,t,2021,2452.0,eastern europe,5.0
112,Belarus,Fungicides and Bactericides,Agricultural Use,t,2021,1206.0,eastern europe,5.0
112,Belarus,Other Pesticides nes,Agricultural Use,t,2021,315.0,eastern europe,5.0
056,Belgium,Pesticides (total),Agricultural Use,t,2021,5866.0,western europe,7.84
056,Belgium,Pesticides (total),Use per area of cropland,kg/ha,2021,6.6,western europe,7.84
056,Belgium,Pesticides (total),Use per capita,kg/cap,2021,0.51,western europe,7.84
056,Belgium,Pesticides (total),Use per value of agricultural production,g/Int$,2021,0.63,western europe,7.84
056,Belgium,Insecticides,Agricultural Use,t,2021,769.0,western europe,7.84
056,Belgium,Insecticides â€“ Chlorinated Hydrocarbons,Agricultural Use,t,2021,2.0,western europe,7.84
056,Belgium,Insecticides â€“ Organo-phosphates,Agricultural Use,t,2021,11.0,western europe,7.84
056,Belgium,Insecticides â€“ Carbamates,Agricultural Use,t,2021,20.0,western europe,7.84
056,Belgium,Insecticides â€“ Pyrethroids,Agricultural Use,t,2021,12.0,western europe,7.84
056,Belgium,Insecticides - Biopesticides,Agricultural Use,t,2021,153.0,western europe,7.84
056,Belgium,Insecticides - nes,Agricultural Use,t,2021,643.0,western europe,7.84
056,Belgium,Herbicides,Agricultural Use,t,2021,2456.0,western europe,7.84
056,Belgium,Herbicides â€“ Phenoxy hormone products,Agricultural Use,t,2021,146.0,western europe,7.84
056,Belgium,Herbicides â€“ Triazines,Agricultural Use,t,2021,224.0,western europe,7.84
056,Belgium,Herbicides â€“ Amides,Agricultural Use,t,2021,320.0,western europe,7.84
056,Belgium,Herbicides â€“ Carbamates,Agricultural Use,t,2021,88.0,western europe,7.84
056,Belgium,Herbicides â€“ Dinitroanilines,Agricultural Use,t,2021,89.0,western europe,7.84
056,Belgium,Herbicides â€“ Urea derivates,Agricultural Use,t,2021,127.0,western europe,7.84
056,Belgium,Herbicides â€“ Sulfonyl ureas,Agricultural Use,t,2021,12.0,western europe,7.84
056,Belgium,Herbicides â€“ Uracil,Agricultural Use,t,2021,11.0,western europe,7.84
056,Belgium,Herbicides - nes,Agricultural Use,t,2021,1438.0,western europe,7.84
056,Belgium,Fungicides and Bactericides,Agricultural Use,t,2021,1999.0,western europe,7.84
056,Belgium,Fung & Bact â€“ Inorganics,Agricultural Use,t,2021,499.0,western europe,7.84
056,Belgium,Fung & Bact â€“ Dithiocarbamates,Agricultural Use,t,2021,286.0,western europe,7.84
056,Belgium,Fung & Bact â€“ Benzimidazoles,Agricultural Use,t,2021,1.0,western europe,7.84
056,Belgium,"Fung & Bact â€“ Triazoles, diazoles",Agricultural Use,t,2021,172.0,western europe,7.84
056,Belgium,"Fung & Bact â€“ Diazines, morpholines",Agricultural Use,t,2021,19.0,western europe,7.84
056,Belgium,Fung & Bact - nes,Agricultural Use,t,2021,1024.0,western europe,7.84
056,Belgium,Plant Growth Regulators,Agricultural Use,t,2021,440.0,western europe,7.84
056,Belgium,Other Pesticides nes,Agricultural Use,t,2021,203.0,western europe,7.84
070,Bosnia and Herzegovina,Pesticides (total),Agricultural Use,t,2021,2723.0,southern europe,8.08
070,Bosnia and Herzegovina,Pesticides (total),Use per area of cropland,kg/ha,2021,2.44,southern europe,8.08
070,Bosnia and Herzegovina,Pesticides (total),Use per capita,kg/cap,2021,0.84,southern europe,8.08
070,Bosnia and Herzegovina,Pesticides (total),Use per value of agricultural production,g/Int$,2021,2.02,southern europe,8.08
070,Bosnia and Herzegovina,Insecticides,Agricultural Use,t,2021,543.0,southern europe,8.08
070,Bosnia and Herzegovina,Herbicides,Agricultural Use,t,2021,1105.0,southern europe,8.08
070,Bosnia and Herzegovina,Fungicides and Bactericides,Agricultural Use,t,2021,645.0,southern europe,8.08
070,Bosnia and Herzegovina,Rodenticides,Agricultural Use,t,2021,251.0,southern europe,8.08
070,Bosnia and Herzegovina,Other Pesticides nes,Agricultural Use,t,2021,180.0,southern europe,8.08
100,Bulgaria,Pesticides (total),Agricultural Use,t,2021,4482.0,eastern europe,5.0
100,Bulgaria,Pesticides (total),Use per area of cropland,kg/ha,2021,1.23,eastern europe,5.0
100,Bulgaria,Pesticides (total),Use per capita,kg/cap,2021,0.65,eastern europe,5.0
100,Bulgaria,Pesticides (total),Use per value of agricultural production,g/Int$,2021,0.82,eastern europe,5.0
100,Bulgaria,Insecticides,Agricultural Use,t,2021,342.0,eastern europe,5.0
100,Bulgaria,Insecticides â€“ Organo-phosphates,Agricultural Use,t,2021,11.0,eastern europe,5.0
100,Bulgaria,Insecticides â€“ Pyrethroids,Agricultural Use,t,2021,108.0,eastern europe,5.0
100,Bulgaria,Insecticides - nes,Agricultural Use,t,2021,221.0,eastern europe,5.0
100,Bulgaria,Herbicides,Agricultural Use,t,2021,2451.0,eastern europe,5.0
100,Bulgaria,Herbicides â€“ Phenoxy hormone products,Agricultural Use,t,2021,99.0,eastern europe,5.0
100,Bulgaria,Herbicides â€“ Triazines,Agricultural Use,t,2021,115.0,eastern europe,5.0
100,Bulgaria,Herbicides â€“ Amides,Agricultural Use,t,2021,381.0,eastern europe,5.0
100,Bulgaria,Herbicides â€“ Dinitroanilines,Agricultural Use,t,2021,153.0,eastern europe,5.0
100,Bulgaria,Herbicides - nes,Agricultural Use,t,2021,1607.0,eastern europe,5.0
100,Bulgaria,Fungicides and Bactericides,Agricultural Use,t,2021,1634.0,eastern europe,5.0
100,Bulgaria,Fung & Bact â€“ Inorganics,Agricultural Use,t,2021,344.0,eastern europe,5.0
100,Bulgaria,Fung & Bact â€“ Benzimidazoles,Agricultural Use,t,2021,132.0,eastern europe,5.0
100,Bulgaria,"Fung & Bact â€“ Triazoles, diazoles",Agricultural Use,t,2021,359.0,eastern europe,5.0
100,Bulgaria,"Fung & Bact â€“ Diazines, morpholines",Agricultural Use,t,2021,5.0,eastern europe,5.0
100,Bulgaria,Fung & Bact - nes,Agricultural Use,t,2021,609.0,eastern europe,5.0
100,Bulgaria,Plant Growth Regulators,Agricultural Use,t,2021,10.0,eastern europe,5.0
100,Bulgaria,Other Pesticides nes,Agricultural Use,t,2021,44.0,eastern europe,5.0
191,Croatia,Pesticides (total),Agricultural Use,t,2021,1470.0,southern europe,8.08
191,Croatia,Pesticides (total),Use per area of cropland,kg/ha,2021,1.57,southern europe,8.08
191,Croatia,Pesticides (total),Use per capita,kg/cap,2021,0.37,southern europe,8.08
191,Croatia,Pesticides (total),Use per value of agricultural production,g/Int$,2021,0.58,southern europe,8.08
191,Croatia,Insecticides,Agricultural Use,t,2021,83.0,southern europe,8.08
191,Croatia,Insecticides â€“ Organo-phosphates,Agricultural Use,t,2021,2.0,southern europe,8.08
191,Croatia,Insecticides â€“ Pyrethroids,Agricultural Use,t,2021,5.0,southern europe,8.08
191,Croatia,Insecticides - nes,Agricultural Use,t,2021,72.0,southern europe,8.08
191,Croatia,Herbicides,Agricultural Use,t,2021,713.0,southern europe,8.08
191,Croatia,Herbicides â€“ Phenoxy hormone products,Agricultural Use,t,2021,11.0,southern europe,8.08
191,Croatia,Herbicides â€“ Triazines,Agricultural Use,t,2021,60.0,southern europe,8.08
191,Croatia,Herbicides â€“ Amides,Agricultural Use,t,2021,138.0,southern europe,8.08
191,Croatia,Herbicides â€“ Carbamates,Agricultural Use,t,2021,1.0,southern europe,8.08
191,Croatia,Herbicides â€“ Dinitroanilines,Agricultural Use,t,2021,13.0,southern europe,8.08
191,Croatia,Herbicides â€“ Urea derivates,Agricultural Use,t,2021,15.0,southern europe,8.08
191,Croatia,Herbicides â€“ Sulfonyl ureas,Agricultural Use,t,2021,9.0,southern europe,8.08
191,Croatia,Herbicides - nes,Agricultural Use,t,2021,467.0,southern europe,8.08
191,Croatia,Fungicides and Bactericides,Agricultural Use,t,2021,583.0,southern europe,8.08
191,Croatia,Fung & Bact â€“ Inorganics,Agricultural Use,t,2021,345.0,southern europe,8.08
191,Croatia,Fung & Bact â€“ Dithiocarbamates,Agricultural Use,t,2021,78.0,southern europe,8.08
191,Croatia,Fung & Bact â€“ Benzimidazoles,Agricultural Use,t,2021,1.0,southern europe,8.08
191,Croatia,"Fung & Bact â€“ Triazoles, diazoles",Agricultural Use,t,2021,48.0,southern europe,8.08
191,Croatia,"Fung & Bact â€“ Diazines, morpholines",Agricultural Use,t,2021,4.0,southern europe,8.08
191,Croatia,Fung & Bact - nes,Agricultural Use,t,2021,108.0,southern europe,8.08
191,Croatia,Plant Growth Regulators,Agricultural Use,t,2021,89.0,southern europe,8.08
191,Croatia,Rodenticides,Agricultural Use,t,2021,2.0,southern europe,8.08
203,Czechia,Pesticides (total),Agricultural Use,t,2021,4480.0,eastern europe,5.0
203,Czechia,Pesticides (total),Use per area of cropland,kg/ha,2021,1.77,eastern europe,5.0
203,Czechia,Pesticides (total),Use per capita,kg/cap,2021,0.43,eastern europe,5.0
203,Czechia,Pesticides (total),Use per value of agricultural production,g/Int$,2021,0.78,eastern europe,5.0
203,Czechia,Insecticides,Agricultural Use,t,2021,104.0,eastern europe,5.0
203,Czechia,Insecticides â€“ Organo-phosphates,Agricultural Use,t,2021,4.0,eastern europe,5.0
203,Czechia,Insecticides â€“ Carbamates,Agricultural Use,t,2021,2.0,eastern europe,5.0
203,Czechia,Insecticides â€“ Pyrethroids,Agricultural Use,t,2021,25.0,eastern europe,5.0
203,Czechia,Insecticides - nes,Agricultural Use,t,2021,73.0,eastern europe,5.0
203,Czechia,Herbicides,Agricultural Use,t,2021,2054.0,eastern europe,5.0
203,Czechia,Herbicides â€“ Phenoxy hormone products,Agricultural Use,t,2021,63.0,eastern europe,5.0
203,Czechia,Herbicides â€“ Triazines,Agricultural Use,t,2021,156.0,eastern europe,5.0
203,Czechia,Herbicides â€“ Amides,Agricultural Use,t,2021,493.0,eastern europe,5.0
203,Czechia,Herbicides â€“ Carbamates,Agricultural Use,t,2021,28.0,eastern europe,5.0
203,Czechia,Herbicides â€“ Dinitroanilines,Agricultural Use,t,2021,74.0,eastern europe,5.0
203,Czechia,Herbicides â€“ Urea derivates,Agricultural Use,t,2021,105.0,eastern europe,5.0
203,Czechia,Herbicides â€“ Sulfonyl ureas,Agricultural Use,t,2021,18.0,eastern europe,5.0
203,Czechia,Herbicides â€“ Bipiridils,Agricultural Use,t,2021,14.0,eastern europe,5.0
203,Czechia,Herbicides â€“ Uracil,Agricultural Use,t,2021,2.0,eastern europe,5.0
203,Czechia,Herbicides - nes,Agricultural Use,t,2021,1102.0,eastern europe,5.0
