Area Code (M49),Area,Item,Element,Unit,Year,value,Sub-region Name,Food loss percentage
332,Haiti,Rodenticides,Agricultural Use,t,2016,98.0,latin america and the caribbean,12.2
340,Honduras,Pesticides (total),Agricultural Use,t,2016,7529.0,latin america and the caribbean,12.2
340,Honduras,Pesticides (total),Use per area of cropland,kg/ha,2016,4.83,latin america and the caribbean,12.2
340,Honduras,Pesticides (total),Use per capita,kg/cap,2016,0.8,latin america and the caribbean,12.2
340,Honduras,Pesticides (total),Use per value of agricultural production,g/Int$,2016,2.33,latin america and the caribbean,12.2
340,Honduras,Insecticides,Agricultural Use,t,2016,106.0,latin america and the caribbean,12.2
340,Honduras,Herbicides,Agricultural Use,t,2016,5022.0,latin america and the caribbean,12.2
340,Honduras,Fungicides and Bactericides,Agricultural Use,t,2016,811.0,latin america and the caribbean,12.2
340,Honduras,Plant Growth Regulators,Agricultural Use,t,2016,834.0,latin america and the caribbean,12.2
340,Honduras,Other Pesticides nes,Agricultural Use,t,2016,755.0,latin america and the caribbean,12.2
388,Jamaica,Pesticides (total),Agricultural Use,t,2016,1409.0,latin america and the caribbean,12.2
388,Jamaica,Pesticides (total),Use per area of cropland,kg/ha,2016,7.5,latin america and the caribbean,12.2
388,Jamaica,Pesticides (total),Use per capita,kg/cap,2016,0.5,latin america and the caribbean,12.2
388,Jamaica,Pesticides (total),Use per value of agricultural production,g/Int$,2016,1.7,latin america and the caribbean,12.2
388,Jamaica,Insecticides,Agricultural Use,t,2016,463.0,latin america and the caribbean,12.2
388,Jamaica,Herbicides,Agricultural Use,t,2016,503.0,latin america and the caribbean,12.2
388,Jamaica,Fungicides and Bactericides,Agricultural Use,t,2016,402.0,latin america and the caribbean,12.2
388,Jamaica,Plant Growth Regulators,Agricultural Use,t,2016,7.0,latin america and the caribbean,12.2
388,Jamaica,Rodenticides,Agricultural Use,t,2016,34.0,latin america and the caribbean,12.2
484,Mexico,Pesticides (total),Agricultural Use,t,2016,47421.0,latin america and the caribbean,12.2
484,Mexico,Pesticides (total),Use per area of cropland,kg/ha,2016,1.95,latin america and the caribbean,12.2
484,Mexico,Pesticides (total),Use per capita,kg/cap,2016,0.39,latin america and the caribbean,12.2
484,Mexico,Pesticides (total),Use per value of agricultural production,g/Int$,2016,0.8,latin america and the caribbean,12.2
484,Mexico,Insecticides,Agricultural Use,t,2016,8001.0,latin america and the caribbean,12.2
484,Mexico,Herbicides,Agricultural Use,t,2016,10220.0,latin america and the caribbean,12.2
484,Mexico,Fungicides and Bactericides,Agricultural Use,t,2016,29200.0,latin america and the caribbean,12.2
500,Montserrat,Pesticides (total),Agricultural Use,t,2016,18.0,latin america and the caribbean,12.2
500,Montserrat,Pesticides (total),Use per area of cropland,kg/ha,2016,9.0,latin america and the caribbean,12.2
500,Montserrat,Pesticides (total),Use per capita,kg/cap,2016,3.88,latin america and the caribbean,12.2
500,Montserrat,Insecticides,Agricultural Use,t,2016,3.0,latin america and the caribbean,12.2
500,Montserrat,Herbicides,Agricultural Use,t,2016,12.0,latin america and the caribbean,12.2
500,Montserrat,Fungicides and Bactericides,Agricultural Use,t,2016,3.0,latin america and the caribbean,12.2
500,Montserrat,Other Pesticides nes,Agricultural Use,t,2016,1.0,latin america and the caribbean,12.2
558,Nicaragua,Pesticides (total),Agricultural Use,t,2016,7682.0,latin america and the caribbean,12.2
558,Nicaragua,Pesticides (total),Use per area of cropland,kg/ha,2016,4.27,latin america and the caribbean,12.2
558,Nicaragua,Pesticides (total),Use per capita,kg/cap,2016,1.23,latin america and the caribbean,12.2
558,Nicaragua,Pesticides (total),Use per value of agricultural production,g/Int$,2016,2.76,latin america and the caribbean,12.2
558,Nicaragua,Insecticides,Agricultural Use,t,2016,799.0,latin america and the caribbean,12.2
558,Nicaragua,Herbicides,Agricultural Use,t,2016,5327.0,latin america and the caribbean,12.2
558,Nicaragua,Fungicides and Bactericides,Agricultural Use,t,2016,1552.0,latin america and the caribbean,12.2
558,Nicaragua,Plant Growth Regulators,Agricultural Use,t,2016,5.0,latin america and the caribbean,12.2
591,Panama,Pesticides (total),Agricultural Use,t,2016,2422.0,latin america and the caribbean,12.2
591,Panama,Pesticides (total),Use per area of cropland,kg/ha,2016,3.44,latin america and the caribbean,12.2
591,Panama,Pesticides (total),Use per capita,kg/cap,2016,0.6,latin america and the caribbean,12.2
591,Panama,Pesticides (total),Use per value of agricultural production,g/Int$,2016,1.6,latin america and the caribbean,12.2
591,Panama,Insecticides,Agricultural Use,t,2016,166.0,latin america and the caribbean,12.2
591,Panama,Herbicides,Agricultural Use,t,2016,1713.0,latin america and the caribbean,12.2
591,Panama,Fungicides and Bactericides,Agricultural Use,t,2016,542.0,latin america and the caribbean,12.2
600,Paraguay,Pesticides (total),Agricultural Use,t,2016,18567.0,latin america and the caribbean,12.2
600,Paraguay,Pesticides (total),Use per area of cropland,kg/ha,2016,4.38,latin america and the caribbean,12.2
600,Paraguay,Pesticides (total),Use per capita,kg/cap,2016,2.97,latin america and the caribbean,12.2
600,Paraguay,Pesticides (total),Use per value of agricultural production,g/Int$,2016,2.03,latin america and the caribbean,12.2
600,Paraguay,Insecticides,Agricultural Use,t,2016,2802.0,latin america and the caribbean,12.2
600,Paraguay,Insecticides â€“ Organo-phosphates,Agricultural Use,t,2016,1052.0,latin america and the caribbean,12.2
600,Paraguay,Insecticides â€“ Carbamates,Agricultural Use,t,2016,61.0,latin america and the caribbean,12.2
